City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,thanh pho uong bi,21.0333,106.7833,28.99,92,84,1.77,VN,1722883228
179,maile,-38.9466,-72.3727,9.34,91,100,3.07,CL,1722883229
180,pervomayskoye,43.919,46.7102,23.97,70,41,2.35,RU,1722883230
181,siuna,13.7332,-84.7773,31.95,56,45,2.16,NI,1722883231
182,saint-pierre,-21.3393,55.4781,18.82,68,0,3.09,RE,1722883232
183,port elizabeth,-33.918,25.5701,12.84,65,0,3.6,ZA,1722883233
184,mahajanga,-15.7167,46.3167,20.01,88,0,1.03,MG,1722883234
185,alta,69.9689,23.2717,22.59,43,0,3.09,NO,1722883236
186,walvis bay,-22.9575,14.5053,13.38,80,0,2.97,NA,1722883237
187,kourou,5.1552,-52.6478,32.03,62,3,4.65,GF,1722883238
188,ouargla,31.9493,5.325,40.04,13,0,3.09,DZ,1722883243
189,batabano,22.7164,-82.2881,32.07,72,100,4.02,CU,1722883246
190,toliara,-23.35,43.6667,20.99,74,0,2.91,MG,1722883248
191,qarauyl,48.9451,79.255,19.64,47,5,2.47,KZ,1722883250
192,puerto madryn,-42.7692,-65.0385,12.27,62,100,4.58,AR,1722883192
193,wabag,-5.4781,143.7021,10.92,98,72,1.38,PG,1722883253
194,ouallam,14.3188,2.0866,33.63,48,13,1.74,NE,1722883254
195,port saint john's,-31.6229,29.5448,13.92,71,0,2.86,ZA,1722883255
196,kapa'a,22.0752,-159.319,27.17,69,0,5.14,US,1722883256
197,atafu village,-8.5421,-172.5159,27.92,75,26,2.29,TK,1722883257
198,reghin-sat,46.7833,24.7167,20.63,55,100,1.47,RO,1722883259
199,lemont,41.6736,-88.0017,31.6,73,40,3.09,US,1722883260
200,ribeira brava,32.65,-17.0667,25.64,72,66,3.56,PT,1722883261
201,loukhi,66.0764,33.0381,12.18,72,80,1.71,RU,1722883262
202,tolanaro,-25.0319,46.9987,19.04,88,0,0.0,MG,1722883263
203,alderetes,-26.8167,-65.1333,25.21,26,0,2.43,AR,1722883264
204,cabo san lucas,22.8909,-109.9124,32.08,42,40,3.6,MX,1722883265
205,dudinka,69.4058,86.1778,7.88,68,17,7.87,RU,1722883267
206,likiep,9.8251,169.3107,28.19,80,100,6.04,MH,1722883268
207,monticello,45.3055,-93.7941,17.95,95,100,4.12,US,1722883245
208,beyneu,45.3167,55.2,33.85,24,0,4.7,KZ,1722883278
209,wuyang,31.9925,116.2472,28.03,82,13,1.6,CN,1722883279
210,broome,42.2506,-75.833,28.89,55,100,3.6,US,1722883280
211,mossel bay,-34.1831,22.146,11.96,63,0,2.32,ZA,1722883281
212,sambava,-14.2667,50.1667,21.89,84,72,4.11,MG,1722883283
213,mount isa,-20.7333,139.5,16.87,67,100,4.12,AU,1722883284
214,smara,26.7384,-11.6719,30.5,26,0,9.47,EH,1722883285
215,vila velha,-20.3297,-40.2925,25.53,74,20,5.66,BR,1722883286
216,adiake,5.2863,-3.304,23.04,90,100,3.11,CI,1722883289
217,quibala,-10.7337,14.98,19.92,64,1,1.37,AO,1722883290
218,taunsa,30.7048,70.6505,36.06,48,0,2.23,PK,1722883291
219,stanley,54.868,-1.6985,21.71,77,75,2.57,GB,1722883292
220,misratah,32.3754,15.0925,29.0,60,0,5.04,LY,1722883293
221,filadelfia,39.9523,-75.1638,33.32,53,20,6.69,US,1722883215
222,aasiaat,68.7098,-52.8699,3.05,88,64,1.21,GL,1722883295
223,ghat,24.9647,10.1728,35.97,12,0,6.91,LY,1722883297
224,cadale,2.7603,46.3222,24.81,81,3,9.87,SO,1722883299
225,lerwick,60.1545,-1.1494,14.0,91,100,2.12,GB,1722883300
